"antennaType","frequency","frequencyLower","frequencyUpper","EDT","MSIfilename","technology"
"K742265",2140,1710,2170,5,"742265_1855_X_CO_M45_05T","LTE 1800"
"K742265",2140,1710,2170,6,"742265_1855_X_CO_M45_06T","LTE 1800"
"K742266",947,824,960,0,"742266_0947_X_CO_M45_00T","GSM 900"
"K742266",947,824,960,1,"742266_0947_X_CO_M45_01T","GSM 900"
"K742266",947,824,960,2,"742266_0947_X_CO_M45_02T","GSM 900"
"K742266",947,824,960,3,"742266_0947_X_CO_M45_03T","GSM 900"
"K742266",947,824,960,4,"742266_0947_X_CO_M45_04T","GSM 900"
"K742266",947,824,960,5,"742266_0947_X_CO_M45_05T","GSM 900"
"K742266",947,824,960,6,"742266_0947_X_CO_M45_06T","GSM 900"
"K742266",947,824,960,7,"742266_0947_X_CO_M45_07T","GSM 900"
"K742266",1855,1710,2170,0,"742266_1855_X_CO_M45_00T","GSM 1800"
"K742266",1855,1710,2170,1,"742266_1855_X_CO_M45_01T","GSM 1800"
"K742266",1855,1710,2170,2,"742266_1855_X_CO_M45_02T","GSM 1800"
"K742266",1855,1710,2170,3,"742266_1855_X_CO_M45_03T","GSM 1800"
"K742266",1855,1710,2170,4,"742266_1855_X_CO_M45_04T","GSM 1800"
"K742266",1855,1710,2170,5,"742266_1855_X_CO_M45_05T","GSM 1800"
"K742266",1855,1710,2170,6,"742266_1855_X_CO_M45_06T","GSM 1800"
"K742266",2140,1710,2170,0,"742266_2140_X_CO_M45_00T","UMTS 2100"
"K742266",2140,1710,2170,1,"742266_2140_X_CO_M45_01T","UMTS 2100"
"K742266",2140,1710,2170,2,"742266_2140_X_CO_M45_02T","UMTS 2100"
"K742266",2140,1710,2170,3,"742266_2140_X_CO_M45_03T","UMTS 2100"
"K742266",2140,1710,2170,4,"742266_2140_X_CO_M45_04T","UMTS 2100"
"K742266",2140,1710,2170,5,"742266_2140_X_CO_M45_05T","UMTS 2100"
"K742266",2140,1710,2170,6,"742266_2140_X_CO_M45_06T","UMTS 2100"
"K742266",2140,1710,2170,0,"742266_1855_X_CO_M45_00T","LTE 1800"
"K742266",2140,1710,2170,1,"742266_1855_X_CO_M45_01T","LTE 1800"
"K742266",2140,1710,2170,2,"742266_1855_X_CO_M45_02T","LTE 1800"
"K742266",2140,1710,2170,3,"742266_1855_X_CO_M45_03T","LTE 1800"
"K742266",2140,1710,2170,4,"742266_1855_X_CO_M45_04T","LTE 1800"
"K742266",2140,1710,2170,5,"742266_1855_X_CO_M45_05T","LTE 1800"
"K742266",2140,1710,2170,6,"742266_1855_X_CO_M45_06T","LTE 1800"
"K739619",947.5,806,960,0,"739619_0948_X_CO_P45","GSM 900"
"K742351",1855,1710,2170,0,"742351_1855_X_CO_M45_00T","GSM 1800"
"K742351",1855,1710,2170,1,"742351_1855_X_CO_M45_01T","GSM 1800"
"K742351",1855,1710,2170,2,"742351_1855_X_CO_M45_02T","GSM 1800"
"K742351",1855,1710,2170,3,"742351_1855_X_CO_M45_03T","GSM 1800"
"K742351",1855,1710,2170,4,"742351_1855_X_CO_M45_04T","GSM 1800"
"K742351",1855,1710,2170,5,"742351_1855_X_CO_M45_05T","GSM 1800"
"K742351",1855,1710,2170,6,"742351_1855_X_CO_M45_06T","GSM 1800"
"K742351",1855,1710,2170,7,"742351_1855_X_CO_M45_07T","GSM 1800"
"K742351",1855,1710,2170,8,"742351_1855_X_CO_M45_08T","GSM 1800"
"K742351",2140,1710,2170,0,"742351_2140_X_CO_M45_00T","UMTS 2100"
"K742351",2140,1710,2170,1,"742351_2140_X_CO_M45_01T","UMTS 2100"
"K742351",2140,1710,2170,2,"742351_2140_X_CO_M45_02T","UMTS 2100"
"K742351",2140,1710,2170,3,"742351_2140_X_CO_M45_03T","UMTS 2100"
"K742351",2140,1710,2170,4,"742351_2140_X_CO_M45_04T","UMTS 2100"
"K742351",2140,1710,2170,5,"742351_2140_X_CO_M45_05T","UMTS 2100"
"K742351",2140,1710,2170,6,"742351_2140_X_CO_M45_06T","UMTS 2100"
"K742351",2140,1710,2170,7,"742351_2140_X_CO_M45_07T","UMTS 2100"
"K742351",2140,1710,2170,8,"742351_2140_X_CO_M45_08T","UMTS 2100"
"K742351",2140,1710,2170,0,"742351_1855_X_CO_M45_00T","LTE 1800"
"K742351",2140,1710,2170,1,"742351_1855_X_CO_M45_01T","LTE 1800"
"K742351",2140,1710,2170,2,"742351_1855_X_CO_M45_02T","LTE 1800"
"K742351",2140,1710,2170,3,"742351_1855_X_CO_M45_03T","LTE 1800"
"K742351",2140,1710,2170,4,"742351_1855_X_CO_M45_04T","LTE 1800"
"K742351",2140,1710,2170,5,"742351_1855_X_CO_M45_05T","LTE 1800"
"K742351",2140,1710,2170,6,"742351_1855_X_CO_M45_06T","LTE 1800"
"K742351",2140,1710,2170,7,"742351_1855_X_CO_M45_07T","LTE 1800"
"K742351",2140,1710,2170,8,"742351_1855_X_CO_M45_08T","LTE 1800"
"K742271",947,806,960,0,"742271_0947_X_CO_M45_00T","GSM 900"
"K742271",947,806,960,1,"742271_0947_X_CO_M45_01T","GSM 900"
"K742271",947,806,960,2,"742271_0947_X_CO_M45_02T","GSM 900"
"K742271",947,806,960,3,"742271_0947_X_CO_M45_03T","GSM 900"
"K742271",947,806,960,4,"742271_0947_X_CO_M45_04T","GSM 900"
"K742271",947,806,960,5,"742271_0947_X_CO_M45_05T","GSM 900"
"K742271",947,806,960,6,"742271_0947_X_CO_M45_06T","GSM 900"
"K742271",947,806,960,7,"742271_0947_X_CO_M45_07T","GSM 900"
"K742271",947,806,960,8,"742271_0947_X_CO_M45_08T","GSM 900"
"K742271",947,806,960,9,"742271_0947_X_CO_M45_09T","GSM 900"
"K742271",947,806,960,10,"742271_0947_X_CO_M45_10T","GSM 900"
"K742271",1855,1710,1880,0,"742271_1855_X_CO_M45_00T","GSM 1800"
"K742271",1855,1710,1880,1,"742271_1855_X_CO_M45_01T","GSM 1800"
"K742271",1855,1710,1880,2,"742271_1855_X_CO_M45_02T","GSM 1800"
"K742271",1855,1710,1880,3,"742271_1855_X_CO_M45_03T","GSM 1800"
"K742271",1855,1710,1880,4,"742271_1855_X_CO_M45_04T","GSM 1800"
"K742271",1855,1710,1880,5,"742271_1855_X_CO_M45_05T","GSM 1800"
"K742271",1855,1710,1880,6,"742271_1855_X_CO_M45_06T","GSM 1800"
"K742271",2140,1920,2170,0,"742271_2140_X_CO_M45_00T","UMTS 2100"
"K742271",2140,1920,2170,1,"742271_2140_X_CO_M45_01T","UMTS 2100"
"K742271",2140,1920,2170,2,"742271_2140_X_CO_M45_02T","UMTS 2100"
"K742271",2140,1920,2170,3,"742271_2140_X_CO_M45_03T","UMTS 2100"
"K742271",2140,1920,2170,4,"742271_2140_X_CO_M45_04T","UMTS 2100"
"K742271",2140,1920,2170,5,"742271_2140_X_CO_M45_05T","UMTS 2100"
"K742271",2140,1920,2170,6,"742271_2140_X_CO_M45_06T","UMTS 2100"
"K742271",1855,1710,1880,0,"742271_1855_X_CO_M45_00T","LTE 1800"
"K742271",1855,1710,1880,1,"742271_1855_X_CO_M45_01T","LTE 1800"
"K742271",1855,1710,1880,2,"742271_1855_X_CO_M45_02T","LTE 1800"
"K742271",1855,1710,1880,3,"742271_1855_X_CO_M45_03T","LTE 1800"
"K742271",1855,1710,1880,4,"742271_1855_X_CO_M45_04T","LTE 1800"
"K742271",1855,1710,1880,5,"742271_1855_X_CO_M45_05T","LTE 1800"
"K742271",1855,1710,1880,6,"742271_1855_X_CO_M45_06T","LTE 1800"
"K742272",947,806,960,0,"742272_0947_X_CO_M45_00T","GSM 900"
"K742272",947,806,960,1,"742272_0947_X_CO_M45_01T","GSM 900"
"K742272",947,806,960,2,"742272_0947_X_CO_M45_02T","GSM 900"
"K742272",947,806,960,3,"742272_0947_X_CO_M45_03T","GSM 900"
"K742272",947,806,960,4,"742272_0947_X_CO_M45_04T","GSM 900"
"K742272",947,806,960,5,"742272_0947_X_CO_M45_05T","GSM 900"
"K742272",947,806,960,6,"742272_0947_X_CO_M45_06T","GSM 900"
"K742272",947,806,960,7,"742272_0947_X_CO_M45_07T","GSM 900"
"K742272",1855,1710,1880,0,"742272_1855_X_CO_M45_00T","GSM 1800"
"K742272",1855,1710,1880,1,"742272_1855_X_CO_M45_01T","GSM 1800"
"K742272",1855,1710,1880,2,"742272_1855_X_CO_M45_02T","GSM 1800"
"K742272",1855,1710,1880,3,"742272_1855_X_CO_M45_03T","GSM 1800"
"K742272",1855,1710,1880,4,"742272_1855_X_CO_M45_04T","GSM 1800"
"K742272",1855,1710,1880,5,"742272_1855_X_CO_M45_05T","GSM 1800"
"K742272",1855,1710,1880,6,"742272_1855_X_CO_M45_06T","GSM 1800"
"K742272",2140,1920,2170,0,"742272_2140_X_CO_M45_00T","UMTS 2100"
"K742272",2140,1920,2170,1,"742272_2140_X_CO_M45_01T","UMTS 2100"
"K742272",2140,1920,2170,2,"742272_2140_X_CO_M45_02T","UMTS 2100"
"K742272",2140,1920,2170,3,"742272_2140_X_CO_M45_03T","UMTS 2100"
"K742272",2140,1920,2170,4,"742272_2140_X_CO_M45_04T","UMTS 2100"
"K742272",2140,1920,2170,5,"742272_2140_X_CO_M45_05T","UMTS 2100"
"K742272",2140,1920,2170,6,"742272_2140_X_CO_M45_06T","UMTS 2100"
"K742272",1855,1710,1880,0,"742272_1855_X_CO_M45_00T","LTE 1800"
"K742272",1855,1710,1880,1,"742272_1855_X_CO_M45_01T","LTE 1800"
"K742272",1855,1710,1880,2,"742272_1855_X_CO_M45_02T","LTE 1800"
"K742272",1855,1710,1880,3,"742272_1855_X_CO_M45_03T","LTE 1800"
"K742272",1855,1710,1880,4,"742272_1855_X_CO_M45_04T","LTE 1800"
"K742272",1855,1710,1880,5,"742272_1855_X_CO_M45_05T","LTE 1800"
"K742272",1855,1710,1880,6,"742272_1855_X_CO_M45_06T","LTE 1800"
"K742215",1855,1710,2200,0,"742215_1855_X_CO_M45_00T","GSM 1800"
"K742215",1855,1710,2200,1,"742215_1855_X_CO_M45_01T","GSM 1800"
"K742215",1855,1710,2200,2,"742215_1855_X_CO_M45_02T","GSM 1800"
"K742215",1855,1710,2200,3,"742215_1855_X_CO_M45_03T","GSM 1800"
"K742215",1855,1710,2200,4,"742215_1855_X_CO_M45_04T","GSM 1800"
"K742215",1855,1710,2200,5,"742215_1855_X_CO_M45_05T","GSM 1800"
"K742215",1855,1710,2200,6,"742215_1855_X_CO_M45_06T","GSM 1800"
"K742215",1855,1710,2200,7,"742215_1855_X_CO_M45_07T","GSM 1800"
"K742215",1855,1710,2200,8,"742215_1855_X_CO_M45_08T","GSM 1800"
"K742215",1855,1710,2200,9,"742215_1855_X_CO_M45_09T","GSM 1800"
"K742215",1855,1710,2200,10,"742215_1855_X_CO_M45_10T","GSM 1800"
"K742215",2140,1710,2200,0,"742215_2140_X_CO_M45_00T","UMTS 2100"
"K742215",2140,1710,2200,1,"742215_2140_X_CO_M45_01T","UMTS 2100"
"K742215",2140,1710,2200,2,"742215_2140_X_CO_M45_02T","UMTS 2100"
"K742215",2140,1710,2200,3,"742215_2140_X_CO_M45_03T","UMTS 2100"
"K742215",2140,1710,2200,4,"742215_2140_X_CO_M45_04T","UMTS 2100"
"K742215",2140,1710,2200,5,"742215_2140_X_CO_M45_05T","UMTS 2100"
"K742215",2140,1710,2200,6,"742215_2140_X_CO_M45_06T","UMTS 2100"
"K742215",2140,1710,2200,7,"742215_2140_X_CO_M45_07T","UMTS 2100"
"K742215",2140,1710,2200,8,"742215_2140_X_CO_M45_08T","UMTS 2100"
"K742215",2140,1710,2200,9,"742215_2140_X_CO_M45_09T","UMTS 2100"
"K742215",2140,1710,2200,10,"742215_2140_X_CO_M45_10T","UMTS 2100"
"K742215",1855,1710,2200,0,"742215_1855_X_CO_M45_00T","LTE 1800"
"K742215",1855,1710,2200,1,"742215_1855_X_CO_M45_01T","LTE 1800"
"K742215",1855,1710,2200,2,"742215_1855_X_CO_M45_02T","LTE 1800"
"K742215",1855,1710,2200,3,"742215_1855_X_CO_M45_03T","LTE 1800"
"K742215",1855,1710,2200,4,"742215_1855_X_CO_M45_04T","LTE 1800"
"K742215",1855,1710,2200,5,"742215_1855_X_CO_M45_05T","LTE 1800"
"K742215",1855,1710,2200,6,"742215_1855_X_CO_M45_06T","LTE 1800"
"K742215",1855,1710,2200,7,"742215_1855_X_CO_M45_07T","LTE 1800"
"K742215",1855,1710,2200,8,"742215_1855_X_CO_M45_08T","LTE 1800"
"K742215",1855,1710,2200,9,"742215_1855_X_CO_M45_09T","LTE 1800"
"K742215",2140,1710,2200,10,"742215_2140_X_CO_M45_10T","LTE 1800"
"K742210",1855,1710,2170,0,"742210_1855_X_CO_M45","GSM 1800"
"K742210",2140,1710,2170,0,"742210_2140_X_CO_M45","UMTS 2100"
"K742210",1855,1710,2170,0,"742210_1855_X_CO_M45","LTE 1800"
"K741984",1855,1710,2170,0,"741984_1855_X_CO_M45","GSM 1800"
"K741984",2140,1710,2170,0,"741984_2140_X_CO_M45","UMTS 2100"
"K741984",1855,1710,2170,0,"741984_1855_X_CO_M45","LTE 1800"
"CMAB3324",1860,1710,2170,0,"CMA3324_0_1860","GSM 1800"
"CMAB3324",1860,1710,2170,2,"CMA3324_2_1860","GSM 1800"
"CMAB3324",2140,1710,2170,0,"CMA3324_0_2140","UMTS 2100"
"CMAB3324",2140,1710,2170,2,"CMA3324_2_2140","UMTS 2100"
"CMAB3324",1860,1710,2170,0,"CMA3324_0_1860","LTE 1800"
"CMAB3324",1860,1710,2170,2,"CMA3324_2_1860","LTE 1800"
"CMA6521",1860,1710,2170,0,"CMA6521_0_1860","GSM 1800"
"CMA6521",1860,1710,2170,2,"CMA6521_2_1860","GSM 1800"
"CMA6521",1860,1710,2170,4,"CMA6521_4_1860","GSM 1800"
"CMA6521",1860,1710,2170,6,"CMA6521_6_1860","GSM 1800"
"CMA6521",2140,1710,2170,0,"CMA6521_0_2140","UMTS 2100"
"CMA6521",2140,1710,2170,2,"CMA6521_2_2140","UMTS 2100"
"CMA6521",2140,1710,2170,4,"CMA6521_4_2140","UMTS 2100"
"CMA6521",2140,1710,2170,6,"CMA6521_6_2140","UMTS 2100"
"CMA6521",1860,1710,2170,0,"CMA6521_0_1860","LTE 1800"
"CMA6521",1860,1710,2170,2,"CMA6521_2_1860","LTE 1800"
"CMA6521",1860,1710,2170,4,"CMA6521_4_1860","LTE 1800"
"CMA6521",1860,1710,2170,6,"CMA6521_6_1860","LTE 1800"
80010137,947.5,876,960,0,"80010137_0948_X_CO","GSM 900"
80010137,1862.5,1710,2500,0,"80010137_1862_X_CO","GSM 1800"
80010137,2170,1710,2500,0,"80010137_2170_X_CO","UMTS 2100"
80010137,1862.5,1710,2500,0,"80010137_1862_X_CO","LTE 1800"
80010248,947.5,806,960,0,"80010248_0948_X_CO","GSM 900"
80010248,1850,1710,2500,0,"80010248_1850_X_CO","GSM 1800"
80010248,2140,1710,2500,0,"80010248_2140_X_CO","UMTS 2100"
80010248,1850,1710,2500,0,"80010248_1850_X_CO","LTE 1800"
80010465,947.5,790,960,0,"80010465_0948_X_CO","GSM 900"
80010465,1850,1710,2700,0,"80010465_1850_X_CO","GSM 1800"
80010465,2140,1710,2700,0,"80010465_2140_X_CO","UMTS 2100"
80010465,1850,1710,2700,0,"80010465_1850_X_CO","LTE 1800"
2409,1862.5,1710,1880,0,"2409_1862_X_CO","GSM 1800"
"DB842H35ESY",948,870,960,0,"DB842H35E-SY_00DT_0948","GSM 900"
"DB844H35ESY",910,870,960,0,"DB844H35E-SY_00DT_0910","GSM 900"
"DB846F65ZAXY",948,806,960,0,"DB846F65ZAXY_00DT_0948","GSM 900"
"DB848H35ESY",880,870,960,0,"DB848H35E-SY_00DT_0880","GSM 900"
"DB992HG28NB",1850,1710,2490,0,"DB992HG28N-B_00DT_1850","GSM 1800"
"DB992HG28NB",2150,1710,2490,0,"DB992HG28N-B_00DT_2150","UMTS 2100"
"K736624",947.5,870,960,0,"736624_0948_X_CO","GSM 900"
"K742289",947.5,824,960,0,"742289_0948_X_CO","GSM 900"
"K742289",1850,1710,2170,0,"742289_1850_X_CO","GSM 1800"
"K742289",2140,1710,2170,0,"742289_2140_X_CO","UMTS 2100"
"K742289",1850,1710,2170,0,"742289_1850_X_CO","LTE 1800"
"K751167",947.5,806,960,0,"751167_0948_X_CO","GSM 900"
"TDJ80025002",947.5,800,2500,0,"TDJ-80025002_0948_X_CO","GSM 900"
"TDJ80025002",1850,800,2500,0,"TDJ-80025002_1850_X_CO","GSM 1800"
"TDJ80025002",2140,800,2500,0,"TDJ-80025002_2140_X_CO","UMTS 2100"
80010217,947,790,960,0,"80010217_0947_x_co_m45","GSM 900"
"K732267",947.5,790,960,0,"k732267_0948_x_co","GSM 900"
"K7345647",947.5,870,960,0,"k7345647_0948_x_co","GSM 900"
"AD3435G",947.5,890,960,0,"AD3435G_0948_x_co","GSM 900"
"A713115",947.5,870,960,0,"A713115_0948_X_CO","GSM 900"
"A713119",947.5,870,960,0,"A713119_0948_X_CO","GSM 900"
"AD40GSM7",960,890,960,0,"AD40GSM7_0960_X_CO","GSM 900"
"AO9009",947.5,890,960,0,"AO9009_0948_X_CO","GSM 900"
"AP901214",947.5,824,960,0,"AP901214_0948_X_CO","GSM 900"
"AP906516",947.5,824,960,0,"AP906516_0948_X_CO","GSM 900"
"AP909014",947.5,824,960,0,"AP909014_0948_X_CO_P45","GSM 900"
"APX182065150T2",1855,1710,2170,2,"APX18206515-0T2_1855_X_CO_M45_02T","GSM 1800"
"APX182065150T2",2140,1710,2170,2,"APX18206515-0T2_2140_X_CO_M45_02T","UMTS 2100"
"APX182065150T2",1855,1710,2170,2,"APX18206515-0T2_1855_X_CO_M45_02T","LTE 1800"
"APX182065150T6",1855,1710,2170,6,"APX182065150T6_1855_X_CO_M45_06T","GSM 1800"
"APX182065150T6",2140,1710,2170,6,"APX182065150T6_2140_X_CO_M45_06T","UMTS 2100"
"APX182065150T6",1855,1710,2170,6,"APX182065150T6_1855_X_CO_M45_06T","LTE 1800"
"DB844H45ZAXY",947.5,806,960,0,"DB844H45ZAXY_0948_X_CO","GSM 900"
"DB846G90AXY",947.5,806,960,0,"DB846G90AXY_0948_X_CO_P45","GSM 900"
"DB944H40EKL",1855,1710,1880,0,"DB944H40EKL_1855_X_CO_M45_00T","GSM 1800"
"KRE105413",947.5,935,960,0,"KRE105413_0948_X_CO_P45","GSM 900"
